2, exact_method_Benders_loop,exact_method_Branch_and_Cut
0, 216.631235, 75.848636
1, 302.044835, 137.277818
2, 161.172382, 64.300553
3, 713.883564, 87.456763
4, 73.542724, 56.115393
5, 354.632448, 107.737711
6, 261.284850, 111.594785
7, 206.993683, 72.149887
8, 175.839425, 94.975978
9, 229.742961, 113.245951
10, 238.729672, 171.390800
11, 300.295969, 58.089957
12, 149.802011, 57.219031
13, 539.322104, 357.166366
14, 1615.475175, 112.381638
15, 152.558875, 88.996291
16, 224.245767, 124.310369
17, 310.243980, 95.596120
18, 108.233624, 55.097187
19, 366.463023, 246.190294
