3, extra_mileage_starting_mode_0,extra_mileage_starting_mode_1,extra_mileage_starting_mode_2
0, 387760.000000, 392658.000000, 390726.000000
1, 394642.000000, 398445.000000, 396125.000000
2, 392091.000000, 387967.000000, 389080.000000
3, 394497.000000, 396267.000000, 393899.000000
4, 396984.000000, 394505.000000, 396837.000000
5, 397680.000000, 392279.000000, 393144.000000
6, 390794.000000, 393233.000000, 394333.000000
7, 402002.000000, 392580.000000, 396156.000000
8, 395361.000000, 391251.000000, 387019.000000
9, 391924.000000, 391987.000000, 392556.000000
10, 393317.000000, 392550.000000, 390630.000000
11, 393833.000000, 391941.000000, 394221.000000
12, 396813.000000, 392342.000000, 394552.000000
13, 386945.000000, 388660.000000, 393913.000000
14, 389787.000000, 395778.000000, 395848.000000
15, 403562.000000, 401675.000000, 400786.000000
16, 395157.000000, 391150.000000, 387385.000000
17, 401550.000000, 394683.000000, 395681.000000
18, 397065.000000, 392904.000000, 391627.000000
19, 396882.000000, 396603.000000, 398167.000000
20, 395672.000000, 398645.000000, 395495.000000
21, 398002.000000, 394060.000000, 400635.000000
22, 396111.000000, 395010.000000, 392864.000000
23, 391748.000000, 392938.000000, 389748.000000
24, 394055.000000, 393216.000000, 390445.000000
25, 392141.000000, 393354.000000, 388876.000000
26, 395633.000000, 391933.000000, 393110.000000
27, 398418.000000, 399158.000000, 395309.000000
28, 395047.000000, 391258.000000, 400269.000000
29, 390179.000000, 394978.000000, 393937.000000
30, 391695.000000, 390182.000000, 391667.000000
31, 397574.000000, 398495.000000, 392314.000000
32, 395467.000000, 392518.000000, 393970.000000
33, 398415.000000, 398310.000000, 393967.000000
34, 391449.000000, 389286.000000, 389798.000000
35, 399741.000000, 397983.000000, 397323.000000
36, 398619.000000, 398982.000000, 402761.000000
37, 395950.000000, 395657.000000, 394485.000000
38, 394462.000000, 393613.000000, 387020.000000
39, 400660.000000, 398395.000000, 394964.000000
40, 398279.000000, 399685.000000, 397467.000000
41, 399944.000000, 395513.000000, 394176.000000
42, 391766.000000, 389937.000000, 387897.000000
43, 389862.000000, 393968.000000, 391967.000000
44, 389639.000000, 394528.000000, 393835.000000
45, 388736.000000, 399105.000000, 397958.000000
46, 397631.000000, 386542.000000, 386453.000000
47, 395321.000000, 389647.000000, 388201.000000
48, 393598.000000, 395085.000000, 397130.000000
49, 395832.000000, 400468.000000, 395139.000000
