3, extra_mileage_starting_mode_0_two_opt,extra_mileage_starting_mode_1_two_opt,extra_mileage_starting_mode_2_two_opt
0, 364957.000000, 366300.000000, 358812.000000
1, 362273.000000, 366416.000000, 368339.000000
2, 367079.000000, 364348.000000, 363840.000000
3, 364214.000000, 368774.000000, 367318.000000
4, 365719.000000, 366992.000000, 365574.000000
5, 363608.000000, 363743.000000, 360236.000000
6, 362693.000000, 365775.000000, 364144.000000
7, 363388.000000, 363107.000000, 362573.000000
8, 360098.000000, 363042.000000, 360189.000000
9, 364724.000000, 364898.000000, 363850.000000
10, 363551.000000, 361331.000000, 360696.000000
11, 364856.000000, 366600.000000, 366531.000000
12, 361481.000000, 366859.000000, 362281.000000
13, 358484.000000, 362430.000000, 361991.000000
14, 359111.000000, 361242.000000, 361546.000000
15, 370128.000000, 370479.000000, 371275.000000
16, 359771.000000, 361739.000000, 361040.000000
17, 366270.000000, 364607.000000, 363965.000000
18, 368283.000000, 369404.000000, 366008.000000
19, 364754.000000, 364850.000000, 363311.000000
20, 366791.000000, 370053.000000, 366107.000000
21, 367800.000000, 364236.000000, 369328.000000
22, 359671.000000, 363909.000000, 361263.000000
23, 365393.000000, 366768.000000, 363133.000000
24, 365240.000000, 368579.000000, 367788.000000
25, 360086.000000, 361330.000000, 361280.000000
26, 365704.000000, 365567.000000, 365754.000000
27, 368199.000000, 367602.000000, 365963.000000
28, 367003.000000, 367392.000000, 365101.000000
29, 361825.000000, 365810.000000, 361766.000000
30, 361631.000000, 362630.000000, 359544.000000
31, 369111.000000, 370613.000000, 364732.000000
32, 365861.000000, 365890.000000, 365808.000000
33, 362393.000000, 362609.000000, 366519.000000
34, 361590.000000, 363221.000000, 363073.000000
35, 366689.000000, 364337.000000, 368746.000000
36, 371646.000000, 369521.000000, 367847.000000
37, 359102.000000, 361956.000000, 360382.000000
38, 366683.000000, 367313.000000, 362184.000000
39, 366454.000000, 366032.000000, 363926.000000
40, 368104.000000, 367872.000000, 369442.000000
41, 363493.000000, 364739.000000, 366254.000000
42, 357864.000000, 362143.000000, 357969.000000
43, 359944.000000, 362546.000000, 360805.000000
44, 363174.000000, 363604.000000, 360614.000000
45, 364188.000000, 364416.000000, 361646.000000
46, 365576.000000, 360231.000000, 360605.000000
47, 363867.000000, 363813.000000, 362507.000000
48, 365267.000000, 370318.000000, 366746.000000
49, 367785.000000, 372541.000000, 367736.000000
