6, greedy_starting_mode_0_grasp_0,greedy_starting_mode_0_grasp_1,greedy_starting_mode_1_grasp_0,greedy_starting_mode_1_grasp_1,greedy_starting_mode_2_grasp_0,greedy_starting_mode_2_grasp_1
0, 416941.000000, 639680.000000, 412679.000000, 659562.000000, 398122.000000, 665298.000000
1, 405505.000000, 643614.000000, 412873.000000, 629462.000000, 390355.000000, 616213.000000
2, 417145.000000, 646811.000000, 407342.000000, 647823.000000, 389348.000000, 622485.000000
3, 399382.000000, 638674.000000, 402404.000000, 639126.000000, 386966.000000, 639745.000000
4, 406601.000000, 640873.000000, 410161.000000, 635525.000000, 394461.000000, 641200.000000
5, 411770.000000, 638373.000000, 418729.000000, 643819.000000, 391676.000000, 632142.000000
6, 413182.000000, 646656.000000, 407086.000000, 617778.000000, 398052.000000, 650222.000000
7, 407260.000000, 644259.000000, 407316.000000, 646943.000000, 396202.000000, 634149.000000
8, 397042.000000, 652625.000000, 408314.000000, 632378.000000, 389670.000000, 638518.000000
9, 401328.000000, 642947.000000, 413250.000000, 625778.000000, 388937.000000, 656891.000000
10, 399659.000000, 626797.000000, 404541.000000, 639105.000000, 390564.000000, 639908.000000
11, 414624.000000, 633910.000000, 396811.000000, 636256.000000, 390546.000000, 613679.000000
12, 395830.000000, 641167.000000, 403689.000000, 633804.000000, 384405.000000, 644395.000000
13, 399775.000000, 621763.000000, 414080.000000, 634569.000000, 389222.000000, 636356.000000
14, 403928.000000, 663717.000000, 400226.000000, 627954.000000, 386088.000000, 647447.000000
15, 408986.000000, 648639.000000, 403995.000000, 634113.000000, 393892.000000, 654005.000000
16, 397474.000000, 639265.000000, 405487.000000, 648318.000000, 388718.000000, 651088.000000
17, 412827.000000, 643561.000000, 401254.000000, 640358.000000, 393685.000000, 625844.000000
18, 405052.000000, 641128.000000, 416288.000000, 609496.000000, 391320.000000, 634136.000000
19, 398454.000000, 628551.000000, 396251.000000, 630353.000000, 388053.000000, 652478.000000
20, 402243.000000, 649586.000000, 408291.000000, 625760.000000, 390188.000000, 636945.000000
21, 411898.000000, 654232.000000, 403009.000000, 625988.000000, 384988.000000, 636349.000000
22, 396052.000000, 624681.000000, 391322.000000, 643333.000000, 383853.000000, 620148.000000
23, 405407.000000, 650271.000000, 402377.000000, 626021.000000, 391761.000000, 653863.000000
24, 411198.000000, 637227.000000, 415566.000000, 649740.000000, 396216.000000, 651497.000000
25, 397371.000000, 648006.000000, 399300.000000, 630701.000000, 392011.000000, 650453.000000
26, 401043.000000, 622105.000000, 396840.000000, 639106.000000, 390125.000000, 634784.000000
27, 403464.000000, 639022.000000, 410846.000000, 646754.000000, 386763.000000, 630734.000000
28, 405384.000000, 627777.000000, 415466.000000, 633206.000000, 395569.000000, 645582.000000
29, 389957.000000, 629312.000000, 404995.000000, 632857.000000, 384578.000000, 647640.000000
30, 407223.000000, 626422.000000, 406046.000000, 651985.000000, 388685.000000, 631165.000000
31, 409190.000000, 617572.000000, 405637.000000, 640824.000000, 392318.000000, 621841.000000
32, 416592.000000, 633326.000000, 412062.000000, 633550.000000, 397044.000000, 647450.000000
33, 408414.000000, 650959.000000, 411827.000000, 632118.000000, 389436.000000, 636034.000000
34, 405210.000000, 637616.000000, 401631.000000, 630265.000000, 394013.000000, 629539.000000
35, 398707.000000, 658607.000000, 397884.000000, 640327.000000, 389473.000000, 626659.000000
36, 406668.000000, 624287.000000, 409583.000000, 639378.000000, 388496.000000, 620544.000000
37, 406340.000000, 647792.000000, 399656.000000, 638960.000000, 389954.000000, 622487.000000
38, 402838.000000, 647273.000000, 394915.000000, 647283.000000, 387856.000000, 617876.000000
39, 425013.000000, 634635.000000, 416660.000000, 633163.000000, 396911.000000, 661989.000000
40, 410204.000000, 637664.000000, 404373.000000, 647651.000000, 392175.000000, 633553.000000
41, 413678.000000, 639038.000000, 405052.000000, 636414.000000, 390661.000000, 622047.000000
42, 406264.000000, 628243.000000, 403227.000000, 637097.000000, 387965.000000, 619592.000000
43, 400834.000000, 638829.000000, 397296.000000, 637405.000000, 390572.000000, 674157.000000
44, 406824.000000, 644626.000000, 405305.000000, 627935.000000, 389417.000000, 640033.000000
45, 399408.000000, 659978.000000, 389252.000000, 651080.000000, 383245.000000, 645221.000000
46, 411019.000000, 647638.000000, 390141.000000, 626277.000000, 384706.000000, 660467.000000
47, 405584.000000, 635540.000000, 401070.000000, 646684.000000, 388853.000000, 632916.000000
48, 414756.000000, 623609.000000, 414734.000000, 647154.000000, 397317.000000, 618846.000000
49, 398788.000000, 631111.000000, 400532.000000, 636579.000000, 388969.000000, 632221.000000
