4, hard_fixing_0.2,hard_fixing_0.3,hard_fixing_0.5,hard_fixing_0.8
0, 245455.000000, 245398.000000, 244028.000000, 242992.000000
1, 239432.000000, 239277.000000, 237168.000000, 236819.000000
2, 237791.000000, 238078.000000, 236623.000000, 237274.000000
3, 240008.000000, 241140.000000, 235397.000000, 237476.000000
4, 240189.000000, 239505.000000, 239476.000000, 237705.000000
5, 234870.000000, 235012.000000, 233788.000000, 234448.000000
6, 242166.000000, 240642.000000, 238382.000000, 239387.000000
7, 239893.000000, 242666.000000, 237818.000000, 239500.000000
8, 236762.000000, 235812.000000, 237284.000000, 233768.000000
9, 238021.000000, 238736.000000, 236037.000000, 236233.000000
