4, optimal,genetic_algorithm_repair_mode_0_cutting_type_2,genetic_algorithm_repair_mode_1_cutting_type_2,genetic_algorithm_repair_mode_2_cutting_type_2
0, 168551.000000, 186014.000000, 186805.000000, 179255.000000
1, 168313.000000, 186989.000000, 184422.000000, 178538.000000
2, 165651.000000, 183332.000000, 183184.000000, 176132.000000
3, 166727.000000, 185079.000000, 183046.000000, 176116.000000
4, 164886.000000, 180107.000000, 180545.000000, 175794.000000
5, 163061.000000, 179063.000000, 178075.000000, 173251.000000
6, 168007.000000, 187022.000000, 182824.000000, 178352.000000
7, 169557.000000, 188476.000000, 185292.000000, 179243.000000
8, 161910.000000, 178219.000000, 176615.000000, 169427.000000
9, 165385.000000, 183923.000000, 181739.000000, 175154.000000
