4, optimal, genetic_algorithm_repair_mode_0_cutting_type_0,genetic_algorithm_repair_mode_0_cutting_type_1,genetic_algorithm_repair_mode_0_cutting_type_2
0, 168551.000000, 183279.000000, 183847.000000, 186014.000000
1, 168313.000000, 187408.000000, 185136.000000, 186989.000000
2, 165651.000000, 183931.000000, 185001.000000, 183332.000000
3, 166727.000000, 181195.000000, 185384.000000, 185079.000000
4, 164886.000000, 184459.000000, 184707.000000, 180107.000000
5, 163061.000000, 180075.000000, 179866.000000, 179063.000000
6, 168007.000000, 181082.000000, 189302.000000, 187022.000000
7, 169557.000000, 184277.000000, 184838.000000, 188476.000000
8, 161910.000000, 178755.000000, 180523.000000, 178219.000000
9, 165385.000000, 183691.000000, 180933.000000, 183923.000000
