4, optimal,genetic_algorithm_repair_mode_2_cutting_type_0,genetic_algorithm_repair_mode_2_cutting_type_1,genetic_algorithm_repair_mode_2_cutting_type_2
0, 168551.000000, 179642.000000, 179971.000000, 179255.000000
1, 168313.000000, 179644.000000, 179661.000000, 178538.000000
2, 165651.000000, 176467.000000, 175655.000000, 176132.000000
3, 166727.000000, 176588.000000, 177000.000000, 176116.000000
4, 164886.000000, 176460.000000, 177189.000000, 175794.000000
5, 163061.000000, 172799.000000, 173343.000000, 173251.000000
6, 168007.000000, 179386.000000, 179223.000000, 178352.000000
7, 169557.000000, 179600.000000, 178978.000000, 179243.000000
8, 161910.000000, 172260.000000, 171326.000000, 169427.000000
9, 165385.000000, 174862.000000, 175966.000000, 175154.000000
