4, optimal,greedy_1_0_tabu_tenure_mode_0_aspiration_1,greedy_1_0_tabu_tenure_mode_1_aspiration_1,greedy_1_0_tabu_tenure_mode_2_aspiration_1
0, 168551.000000, 180237.000000, 179150.000000, 178991.000000
1, 168313.000000, 175358.000000, 176064.000000, 177083.000000
2, 165651.000000, 176145.000000, 174980.000000, 175259.000000
3, 166727.000000, 175407.000000, 176931.000000, 176694.000000
4, 164886.000000, 175321.000000, 175640.000000, 174765.000000
5, 163061.000000, 170951.000000, 172341.000000, 175664.000000
6, 168007.000000, 174345.000000, 174753.000000, 176534.000000
7, 169557.000000, 178306.000000, 179602.000000, 176780.000000
8, 161910.000000, 171937.000000, 170098.000000, 172064.000000
9, 165385.000000, 174405.000000, 175248.000000, 174111.000000
